date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-01-01,195650,258,1.0,2.0,-1.0
2025-01-01,197798,258,3.0,1.92,1.08
2025-01-01,197699,258,1.0,1.97,-0.97
2025-01-01,197676,258,2.0,2.33,-0.33000000000000007
2025-01-01,195883,258,4.0,3.99,0.009999999999999787
2025-01-01,198115,258,1.0,1.4,-0.3999999999999999
2025-01-01,197254,258,1.0,1.29,-0.29000000000000004
2025-01-01,199849,258,1.0,1.37,-0.3700000000000001
2025-01-01,198235,258,1.0,1.29,-0.29000000000000004
2025-01-01,198239,258,1.0,1.25,-0.25
2025-01-01,198794,258,2.0,8.52,-6.52
2025-01-01,198795,258,2.0,1.2,0.8
2025-01-01,199763,258,6.0,2.31,3.69
2025-01-01,199848,258,2.0,4.02,-2.0199999999999996
2025-01-01,199856,258,2.0,2.05,-0.04999999999999982
2025-01-01,194631,258,1.0,1.77,-0.77
2025-01-01,198234,258,1.0,1.29,-0.29000000000000004
2025-01-01,194564,258,4.0,1.54,2.46
2025-01-01,193421,258,1.0,1.3,-0.30000000000000004
2025-01-01,192083,258,1.0,1.59,-0.5900000000000001
2025-01-01,192127,258,1.0,1.86,-0.8600000000000001
2025-01-01,192128,258,3.0,4.48,-1.4800000000000004
2025-01-01,192398,258,1.0,1.41,-0.4099999999999999
2025-01-01,192413,258,1.0,1.28,-0.28
2025-01-01,192420,258,1.0,1.45,-0.44999999999999996
2025-01-01,192474,258,1.0,1.63,-0.6299999999999999
2025-01-01,192563,258,1.0,2.86,-1.8599999999999999
2025-01-01,192691,258,1.0,1.18,-0.17999999999999994
2025-01-01,192703,258,1.0,1.41,-0.4099999999999999
2025-01-01,192777,258,3.0,2.37,0.6299999999999999
2025-01-01,192823,258,1.0,1.26,-0.26
2025-01-01,192990,258,6.0,9.47,-3.4700000000000006
2025-01-01,193188,258,8.0,6.55,1.4500000000000002
2025-01-01,193371,258,1.0,1.68,-0.6799999999999999
2025-01-01,193404,258,1.0,2.59,-1.5899999999999999
2025-01-01,304066,258,16.0,17.97,-1.9699999999999989
2025-01-01,243178,258,4.0,1.16,2.84
2025-01-01,244402,258,2.0,1.95,0.050000000000000044
2025-01-01,244478,258,1.0,1.19,-0.18999999999999995
2025-01-01,247466,258,1.0,2.59,-1.5899999999999999
2025-01-01,247472,258,2.0,1.25,0.75
2025-01-01,247601,258,1.0,1.1,-0.10000000000000009
2025-01-01,249780,258,2.0,2.24,-0.2400000000000002
2025-01-01,251073,258,4.0,4.21,-0.20999999999999996
2025-01-01,257017,258,3.0,1.36,1.64
2025-01-01,243167,258,1.0,1.3,-0.30000000000000004
2025-01-01,258593,258,1.0,1.53,-0.53
2025-01-01,268313,258,1.0,1.36,-0.3600000000000001
2025-01-01,269395,258,1.0,2.1,-1.1
2025-01-01,270591,258,17.0,10.0,7.0
2025-01-01,295483,258,1.0,1.25,-0.25
2025-01-01,298297,258,6.0,1.98,4.02
2025-01-01,298298,258,3.0,1.41,1.59
2025-01-01,304074,258,1.0,2.08,-1.08
2025-01-01,304075,258,3.0,1.7,1.3
2025-01-01,304076,258,1.0,1.29,-0.29000000000000004
2025-01-01,259916,258,1.0,1.79,-0.79
2025-01-01,239648,258,1.0,2.19,-1.19
2025-01-01,239646,258,1.0,1.27,-0.27
2025-01-01,239621,258,1.0,1.26,-0.26
2025-01-01,201305,258,8.0,2.26,5.74
2025-01-01,201653,258,1.0,1.28,-0.28
2025-01-01,202107,258,2.0,1.97,0.030000000000000027
2025-01-01,203532,258,1.0,1.19,-0.18999999999999995
2025-01-01,203987,258,1.0,1.51,-0.51
2025-01-01,207073,258,1.0,1.32,-0.32000000000000006
2025-01-01,207194,258,1.0,2.41,-1.4100000000000001
2025-01-01,209584,258,3.0,2.78,0.2200000000000002
2025-01-01,219210,258,1.0,1.34,-0.3400000000000001
2025-01-01,219241,258,3.0,2.28,0.7200000000000002
2025-01-01,220927,258,5.0,3.38,1.62
2025-01-01,221563,258,5.0,1.42,3.58
2025-01-01,222475,258,1.0,2.3,-1.2999999999999998
2025-01-01,222492,258,3.0,1.45,1.55
2025-01-01,239614,258,4.0,1.9,2.1
2025-01-01,239615,258,3.0,1.08,1.92
2025-01-01,239617,258,1.0,1.24,-0.24
2025-01-01,191666,258,1.0,1.09,-0.09000000000000008
2025-01-01,184866,258,2.0,1.84,0.15999999999999992
2025-01-01,190232,258,1.0,1.24,-0.24
2025-01-01,184941,258,1.0,1.2,-0.19999999999999996
2025-01-01,184945,258,2.0,2.64,-0.6400000000000001
2025-01-01,184947,258,1.0,1.13,-0.1299999999999999
2025-01-01,184950,258,1.0,1.14,-0.1399999999999999
2025-01-01,184951,258,3.0,1.52,1.48
2025-01-01,184958,258,3.0,1.99,1.01
2025-01-01,184960,258,1.0,1.08,-0.08000000000000007
2025-01-01,184961,258,1.0,3.17,-2.17
2025-01-01,184965,258,2.0,2.15,-0.1499999999999999
2025-01-01,184966,258,1.0,4.11,-3.1100000000000003
2025-01-01,184939,258,2.0,1.5,0.5
2025-01-01,184970,258,2.0,1.72,0.28
2025-01-01,184976,258,2.0,1.94,0.06000000000000005
2025-01-01,184998,258,1.0,1.92,-0.9199999999999999
2025-01-01,185001,258,1.0,1.34,-0.3400000000000001
2025-01-01,185002,258,3.0,2.58,0.41999999999999993
2025-01-01,185005,258,1.0,1.19,-0.18999999999999995
2025-01-01,185020,258,1.0,1.11,-0.1100000000000001
2025-01-01,185022,258,1.0,1.25,-0.25
2025-01-01,185034,258,1.0,1.12,-0.1200000000000001
2025-01-01,184973,258,1.0,2.2,-1.2000000000000002
2025-01-01,184938,258,1.0,1.38,-0.3799999999999999
2025-01-01,184935,258,5.0,7.81,-2.8099999999999996
2025-01-01,184934,258,2.0,2.46,-0.45999999999999996
2025-01-01,184860,258,1.0,1.29,-0.29000000000000004
2025-01-01,184864,258,1.0,1.38,-0.3799999999999999
2025-01-01,184865,258,1.0,1.49,-0.49
2025-01-01,191527,258,2.0,1.95,0.050000000000000044
2025-01-01,184869,258,1.0,1.65,-0.6499999999999999
